priority_rank,seq,title,authors,year,journal,doi,doi_link,google_scholar,openalex_search,unpaywall_api,pdf_found,pdf_filename,pdf_source,fulltext_screening_decision,exclusion_reason,sample_size_n,model_type,effect_size_type,reported_coefficient,standard_error,t_value,df_for_t,p_value,converted_r,fisher_z,variance_z,performance_measure_guess,internationalization_measure_guess,table_or_page,statistic_location,notes_for_extractor,ready_for_r,doi_status,icrv,prescreen_reason,dpl,fp_type,country_guess,region_guess,internationalization_dimension_guess,performance_category_guess,research_design_guess,fulltext_status,extraction_status,screening_decision_prelim,study_period_start,study_period_end,industry,firm_type,curve_type,moderators,source_url_or_pdf_path,extraction_priority,extracted_by,checked_by,effect_direction,conversion_formula
11,133,"Multinationals, R&D, and productivity: evidence for UK manufacturing firms","Anon Higon, Dolores; Manjon Antolin, Miguel; Manez, Juan A.",2011,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr007,https://doi.org/10.1093/icc/dtr007,https://scholar.google.com/scholar?q=Multinationals%2C%20R%26D%2C%20and%20productivity%3A%20evidence%20for%20UK%20manufacturing%20firms,https://openalex.org/works?search=Multinationals%2C%20R%26D%2C%20and%20productivity%3A%20evidence%20for%20UK%20manufacturing%20firms,https://api.unpaywall.org/v2/10.1093%2Ficc%2Fdtr007,,,,UNSURE,,,,,,,,,,,,,Productivity,Degree of internationalization/multinationality,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,LAB,United Kingdom,Europe,Scale/scope,Operational,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
12,160,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries","Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina",2026,MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,https://doi.org/10.1108/mrr-12-2024-0924,https://scholar.google.com/scholar?q=Female%20CEOs%2C%20SMEs%20performance%20and%20internationalization%3A%20empirical%20evidence%20from%20European%20peripheral%20and%20Nordic%20countries,https://openalex.org/works?search=Female%20CEOs%2C%20SMEs%20performance%20and%20internationalization%3A%20empirical%20evidence%20from%20European%20peripheral%20and%20Nordic%20countries,https://api.unpaywall.org/v2/10.1108%2Fmrr-12-2024-0924,,,,UNSURE,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Europe,Europe,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
13,171,The effect of restructuring internationalized companies on performance: Evidence from European firms,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",2025,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,https://doi.org/10.1111/emre.12672,https://scholar.google.com/scholar?q=The%20effect%20of%20restructuring%20internationalized%20companies%20on%20performance%3A%20Evidence%20from%20European%20firms,https://openalex.org/works?search=The%20effect%20of%20restructuring%20internationalized%20companies%20on%20performance%3A%20Evidence%20from%20European%20firms,https://api.unpaywall.org/v2/10.1111%2Femre.12672,,,,UNSURE,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Europe,Europe,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
14,178,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2025,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,https://doi.org/10.1016/j.jbusres.2025.115378,https://scholar.google.com/scholar?q=The%20role%20of%20intellectual%20capital%20and%20women%20managers%20in%20the%20internationalization-performance%20relationship%3A%20An%20analysis%20of%20Spanish%20hotel%20firms,https://openalex.org/works?search=The%20role%20of%20intellectual%20capital%20and%20women%20managers%20in%20the%20internationalization-performance%20relationship%3A%20An%20analysis%20of%20Spanish%20hotel%20firms,https://api.unpaywall.org/v2/10.1016%2Fj.jbusres.2025.115378,,,,UNSURE,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Spain,Europe,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
15,179,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy","Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.",2025,JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,https://doi.org/10.1016/j.jrurstud.2025.103682,https://scholar.google.com/scholar?q=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,https://openalex.org/works?search=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,https://api.unpaywall.org/v2/10.1016%2Fj.jrurstud.2025.103682,,,,Y,,,,,,,,,,,,,Innovation/strategic outcome,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto_title:ip_explicit,3,composite,Spain,Europe,General DOI,Innovation/other,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
16,186,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,"Shin, Joon-Ho; Choi, Chang-Bum",2025,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,https://doi.org/10.35611/jkt.2025.29.6.173,https://scholar.google.com/scholar?q=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,https://openalex.org/works?search=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,https://api.unpaywall.org/v2/10.35611%2Fjkt.2025.29.6.173,,,,UNSURE,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Korea,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
17,187,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",2025,SUSTAINABILITY,10.3390/su17062580,https://doi.org/10.3390/su17062580,https://scholar.google.com/scholar?q=The%20Joint%20Effects%20of%20Firm%27s%20Globalization%20and%20ESG%20Rating%20on%20Financial%20Performance%3A%20Evidence%20from%20Food%20Industry%20in%20Taiwan,https://openalex.org/works?search=The%20Joint%20Effects%20of%20Firm%27s%20Globalization%20and%20ESG%20Rating%20on%20Financial%20Performance%3A%20Evidence%20from%20Food%20Industry%20in%20Taiwan,https://api.unpaywall.org/v2/10.3390%2Fsu17062580,,,,UNSURE,,,,,,,,,,,,,Firm performance,TO_EXTRACT,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Taiwan,Asia,TO_EXTRACT,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
18,194,The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanced Economies?,"Zhang, Jintao; Chen, Stephen; Tan, Hao",2024,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.3797,https://doi.org/10.1002/bse.3797,https://scholar.google.com/scholar?q=The%20Internationalization-Environmental%20Performance%20Relationship%3A%20Does%20it%20Differ%20between%20MNEs%20in%20Advanced%20and%20Less%20Advanced%20Economies%3F,https://openalex.org/works?search=The%20Internationalization-Environmental%20Performance%20Relationship%3A%20Does%20it%20Differ%20between%20MNEs%20in%20Advanced%20and%20Less%20Advanced%20Economies%3F,https://api.unpaywall.org/v2/10.1002%2Fbse.3797,,,,UNSURE,,,,,,,,,,,,,Firm performance,Degree of internationalization/multinationality,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,TO_EXTRACT,TO_EXTRACT,Scale/scope,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
19,199,"When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manufacturing SMEs","Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",2024,WORLD ECONOMY,10.1111/twec.13639,https://doi.org/10.1111/twec.13639,https://scholar.google.com/scholar?q=When%20market%20leads%20innovation%3A%20The%20interplay%20of%20internationalisation%2C%20innovation%20and%20productivity%20among%20Swedish%20wood%20manufacturing%20SMEs,https://openalex.org/works?search=When%20market%20leads%20innovation%3A%20The%20interplay%20of%20internationalisation%2C%20innovation%20and%20productivity%20among%20Swedish%20wood%20manufacturing%20SMEs,https://api.unpaywall.org/v2/10.1111%2Ftwec.13639,,,,UNSURE,,,,,,,,,,,,,Innovation/strategic outcome,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,productivity,TO_EXTRACT,TO_EXTRACT,Export,Innovation/other,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
20,221,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,"Liao, Hsing-Kuo; Liao, Chin-Wen; Chen, Cheng-Chi; Chen, Tzu-Wen",2023,SUSTAINABILITY,10.3390/su152115652,https://doi.org/10.3390/su152115652,https://scholar.google.com/scholar?q=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,https://openalex.org/works?search=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,https://api.unpaywall.org/v2/10.3390%2Fsu152115652,,,,UNSURE,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,,Taiwan,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
21,240,"Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI","Hejazi, Walid; Tang, Jianmin; Wang, Weimin",2021,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00343-9,https://doi.org/10.1057/s41267-020-00343-9,https://scholar.google.com/scholar?q=Selection%2C%20learning%2C%20and%20productivity%20at%20the%20firm%20level%3A%20Evidence%20from%20Canadian%20outward%20FDI,https://openalex.org/works?search=Selection%2C%20learning%2C%20and%20productivity%20at%20the%20firm%20level%3A%20Evidence%20from%20Canadian%20outward%20FDI,https://api.unpaywall.org/v2/10.1057%2Fs41267-020-00343-9,,,,UNSURE,,,,,,,,,,,,,Productivity,FDI,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,1,auto:insufficient_evidence,3,productivity,TO_EXTRACT,TO_EXTRACT,FDI/investment,Operational,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
